"","memory-1","memory-2","memory-3","plasmablasts-1","plasmablasts-2","plasmablasts-3","plasmacells-1","plasmacells-2","plasmacells-3","preplasmablasts-1","preplasmablasts-2","preplasmablasts-3"
"PRKRIP1",1549.29519361329,1359.4961968382,1127.90251341301,867.593727841849,822.908055910267,917.855273868936,1035.56428774574,753.984400692869,1343.6111162015,633.184705267785,771.343051935208,809.356414221704
"PRKX",5883.77624010047,4950.57080959285,3870.88949546765,776.84363524657,1144.48905733382,729.070299640935,790.560282705046,1243.84622700828,650.400489664424,933.132245114957,1721.83231326854,862.338452235964
"PRKXP1",0.786995753041094,12.3238342133984,0.908469397761177,71.7143293569877,37.4901368298968,56.9004108658431,75.964645647954,47.0931843223151,204.246057064759,72.8144348192155,25.8218972418115,58.1492549947734
"PRKY",6.57194920600015,494.058094879488,548.438333091618,151.10718404876,4.52769845744503,212.867831250621,295.810974622239,11.3888799993392,565.62738368482,496.591827401401,7.66971097104218,255.471715411334
"PRLHR",8.592651999765,26.8463398193067,23.1528946457414,4.18792208579655,6.01662821253049,3.48370079035433,4.56801844965889,2.00966892098867,11.2196490757518,6.96385498940609,2.39922702229837,5.56602714433302
"PRLR",2.4248450657072,4.21872597533624,2.97914863190616,0,0,0,0,0,0,0.610824494054115,0.602310345091045,0
"PRMT1",2380.14516365968,2044.25250510725,1493.4692736974,3599.25059472605,3445.37910468787,4609.57960366207,2619.86703686711,2564.6610280843,2334.70595498442,8064.40517575804,7845.26463808127,8574.37161608092
"PRMT2",365.697387416539,211.297176360653,651.593253231203,429.899485684899,593.22236649052,751.375138224263,492.877068307583,435.352231967085,360.956351326071,661.044794974073,906.362325650213,1093.79678906749
"PRMT3",276.981682843427,488.316710566277,402.708759235722,458.274420494521,407.10875422985,448.987028047082,314.499599692981,373.463355307082,257.216458945075,1303.24566270168,1139.07801889991,955.573956280131
"PRMT5",472.47737632107,620.752551543678,369.593978377126,863.02107365031,2178.22931107068,2059.66841604996,1289.7534647072,1388.53404051978,1368.70405942355,2213.45057511047,3199.5318785696,3689.48567183894
"PRMT6",288.030627252912,263.422476064239,268.021169616515,279.248892253743,395.252332069453,428.886361982689,394.397874355665,433.499145741689,213.531432581102,328.499406417142,484.16474514263,413.025850191699
"PRMT7",179.425825307535,315.009386792095,545.759526914116,409.937796863412,476.365293657756,759.173665570515,979.83492701675,767.763542253023,1350.26090786473,562.525073313218,573.481245143684,874.02139472965
"PRMT8",21.5069192655695,51.1834795178414,49.9816374565663,18.0282726491464,4.76269790522148,0,0,3.91885598065424,23.4270612855721,12.1242404106664,4.18367285189588,6.97611251781124
"PRMT9",634.464208671506,741.853371682238,611.110069819832,209.028351020278,266.044293566959,254.320912276786,365.408348939092,326.156718407858,225.968941782324,266.138301004428,360.483587172383,311.089775757324
"PRND",37.2633602002254,86.2395631992661,77.8209514415586,24.8746495247676,17.6378783569123,10.3955076763296,16.5218205813741,16.1648746530026,39.0265717178202,15.0702116343997,3.54771237562532,9.20331179703677
"PRNP",6551.64445564655,5466.3487954706,2910.05800726127,1100.75494892331,1150.78115407879,1349.54614846365,1184.09121890258,1239.72632461224,624.746158402868,1194.32817180265,1543.554088037,1170.50960317911
"PROB1",12.6571199449533,29.9636635935338,18.7931528206762,169.241684926861,290.303563445263,464.684405675951,125.966077702417,189.620825880405,195.261926428682,222.290649436769,395.340633464448,499.944839572484
"PROC",12.2251470277359,1.85966519311857,4.16655646099471,0,0,0,0,0,0,0,0,0
